Cygnus version: 0.28.0.6,File version: 2021.11
Operative system: Windows
Record datetime: 2024-07-02 10:22:02.042
Device ID: A8EEG_DONGLE_BWS2540
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,Fz,C3,C4,Pz,O1,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.049,10548,375000.0,362240.2,375000.0,375000.0,375000.0,366310.53,375000.0,368780.4,,,,,
0.050,10549,375000.0,362230.44,375000.0,375000.0,375000.0,366245.47,375000.0,368715.57,,,,,
0.051,10550,375000.0,362256.78,375000.0,375000.0,375000.0,366177.06,375000.0,368643.74,,,,,
0.052,10551,375000.0,362309.27,375000.0,375000.0,375000.0,366119.5,375000.0,368579.7,,,,,
0.053,10552,375000.0,362384.58,375000.0,375000.0,375000.0,366070.02,375000.0,368521.48,,,,,
0.054,10553,375000.0,362485.51,375000.0,375000.0,375000.0,366012.96,375000.0,368454.33,,,,,
0.055,10554,375000.0,362616.63,375000.0,375000.0,375000.0,365929.46,375000.0,368360.26,,,,,
0.056,10555,375000.0,362778.29,375000.0,375000.0,375000.0,365808.42,375000.0,368229.01,,,,,
0.057,10556,375000.0,362961.63,375000.0,375000.0,375000.0,365654.34,375000.0,368065.86,,,,,
0.058,10557,375000.0,363146.93,375000.0,375000.0,375000.0,365489.11,375000.0,367893.48,,,,,
0.059,10558,375000.0,363306.36,375000.0,375000.0,375000.0,365347.04,375000.0,367746.92,,,,,
0.060,10559,375000.0,363410.39,375000.0,375000.0,375000.0,365264.93,375000.0,367663.53,,,,,
0.061,10560,375000.0,363435.92,375000.0,375000.0,375000.0,365270.26,375000.0,367671.07,,,,,
0.062,10561,375000.0,363373.29,375000.0,375000.0,375000.0,365371.64,375000.0,367778.03,,,,,
0.063,10562,375000.0,363229.83,375000.0,375000.0,375000.0,365554.57,375000.0,367969.37,,,,,
0.064,10563,375000.0,363028.74,375000.0,375000.0,375000.0,365784.28,375000.0,368209.43,,,,,
0.065,10564,375000.0,362803.35,375000.0,375000.0,375000.0,366014.98,375000.0,368451.3,,,,,
0.066,10565,375000.0,362588.81,375000.0,375000.0,375000.0,366202.82,375000.0,368649.99,,,,,
0.067,10566,375000.0,362413.72,375000.0,375000.0,375000.0,366318.28,375000.0,368774.86,,,,,
0.068,10567,375000.0,362294.39,375000.0,375000.0,375000.0,366353.75,375000.0,368817.36,,,,,
0.069,10568,375000.0,362233.52,375000.0,375000.0,375000.0,366323.41,375000.0,368790.94,,,,,
0.070,10569,375000.0,362223.2,375000.0,375000.0,375000.0,366255.48,375000.0,368723.37,,,,,
0.071,10570,375000.0,362250.96,375000.0,375000.0,375000.0,366179.74,375000.0,368644.38,,,,,
0.072,10571,375000.0,362306.16,375000.0,375000.0,375000.0,366115.36,375000.0,368573.48,,,,,
0.073,10572,375000.0,362384.15,375000.0,375000.0,375000.0,366063.98,375000.0,368513.03,,,,,
0.074,10573,375000.0,362486.48,375000.0,375000.0,375000.0,366011.0,375000.0,368449.49,,,,,
0.075,10574,375000.0,362617.24,375000.0,375000.0,375000.0,365934.66,375000.0,368362.24,,,,,
0.076,10575,375000.0,362777.24,375000.0,375000.0,375000.0,365818.89,375000.0,368236.28,,,,,
0.077,10576,375000.0,362958.55,375000.0,375000.0,375000.0,365664.4,375000.0,368073.18,,,,,
0.078,10577,375000.0,363142.31,375000.0,375000.0,375000.0,365492.92,375000.0,367895.27,,,,,
0.079,10578,375000.0,363300.98,375000.0,375000.0,375000.0,365342.37,375000.0,367740.85,,,,,
0.080,10579,375000.0,363404.8,375000.0,375000.0,375000.0,365254.68,375000.0,367652.08,,,,,
0.081,10580,375000.0,363430.2,375000.0,375000.0,375000.0,365260.8,375000.0,367660.06,,,,,
0.082,10581,375000.0,363367.32,375000.0,375000.0,375000.0,365368.95,375000.0,367773.06,,,,,
0.083,10582,375000.0,363223.73,375000.0,375000.0,375000.0,365560.65,375000.0,367972.42,,,,,
0.084,10583,375000.0,363023.08,375000.0,375000.0,375000.0,365795.97,375000.0,368217.67,,,,,
0.085,10584,375000.0,362798.92,375000.0,375000.0,375000.0,366025.83,375000.0,368458.85,,,,,
0.086,10585,375000.0,362586.06,375000.0,375000.0,375000.0,366206.93,375000.0,368651.39,,,,,
0.087,10586,375000.0,362412.24,375000.0,375000.0,375000.0,366313.65,375000.0,368768.27,,,,,
0.088,10587,375000.0,362292.86,375000.0,375000.0,375000.0,366343.19,375000.0,368805.42,,,,,
0.089,10588,375000.0,362230.14,375000.0,375000.0,375000.0,366312.61,375000.0,368778.97,,,,,
0.090,10589,375000.0,362216.62,375000.0,375000.0,375000.0,366249.57,375000.0,368716.13,,,,,
0.091,10590,375000.0,362241.01,375000.0,375000.0,375000.0,366180.43,375000.0,368643.41,,,,,
