Cygnus version: 0.28.0.6,File version: 2021.11
Operative system: Windows
Record datetime: 2024-07-01 11:26:19.142
Device ID: A8EEG_DONGLE_BWS2540
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,Fz,C3,C4,Pz,O1,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.057,102681,374615.88,374709.64,374899.49,375000.0,374865.78,374888.75,375000.0,375000.0,,,,,
0.058,102682,374618.37,374712.19,374902.1,375000.0,374868.4,374891.45,375000.0,375000.0,,,,,
0.059,102683,374623.15,374716.87,374906.76,375000.0,374873.07,374896.18,375000.0,375000.0,,,,,
0.060,102684,374629.82,374723.25,374913.05,375000.0,374879.41,374902.51,375000.0,375000.0,,,,,
0.061,102685,374637.82,374730.81,374920.45,375000.0,374886.89,374909.89,375000.0,375000.0,,,,,
0.062,102686,374646.51,374738.93,374928.39,375000.0,374894.91,374917.74,375000.0,375000.0,,,,,
0.063,102687,374655.15,374746.96,374936.19,375000.0,374902.8,374925.44,375000.0,375000.0,,,,,
0.064,102688,374662.92,374754.16,374943.13,375000.0,374909.82,374932.31,375000.0,375000.0,,,,,
0.065,102689,374669.0,374759.78,374948.46,375000.0,374915.23,374937.67,375000.0,375000.0,,,,,
0.066,102690,374672.69,374763.16,374951.55,375000.0,374918.4,374940.88,375000.0,375000.0,,,,,
0.067,102691,374673.56,374763.89,374952.05,375000.0,374918.98,374941.57,375000.0,375000.0,,,,,
0.068,102692,374671.63,374761.97,374950.05,375000.0,374917.01,374939.72,375000.0,375000.0,,,,,
0.069,102693,374667.36,374757.84,374946.03,375000.0,374912.96,374935.74,375000.0,375000.0,,,,,
0.070,102694,374661.54,374752.29,374940.75,375000.0,374907.57,374930.36,375000.0,375000.0,,,,,
0.071,102695,374655.08,374746.18,374935.03,375000.0,374901.7,374924.46,375000.0,375000.0,,,,,
0.072,102696,374648.79,374740.31,374929.53,375000.0,374896.06,374918.8,375000.0,375000.0,,,,,
0.073,102697,374643.18,374735.16,374924.65,375000.0,374891.11,374913.87,375000.0,375000.0,,,,,
0.074,102698,374638.5,374730.96,374920.57,375000.0,374887.08,374909.89,375000.0,375000.0,,,,,
0.075,102699,374634.87,374727.79,374917.41,375000.0,374884.03,374906.93,375000.0,375000.0,,,,,
0.076,102700,374632.45,374725.75,374915.37,375000.0,374882.1,374905.08,375000.0,375000.0,,,,,
0.077,102701,374631.53,374725.11,374914.77,375000.0,374881.53,374904.55,375000.0,375000.0,,,,,
0.078,102702,374632.5,374726.22,374916.0,375000.0,374882.66,374905.68,375000.0,375000.0,,,,,
0.079,102703,374635.72,374729.4,374919.34,375000.0,374885.78,374908.77,375000.0,375000.0,,,,,
0.080,102704,374641.29,374734.76,374924.76,375000.0,374890.97,374913.94,375000.0,375000.0,,,,,
0.081,102705,374648.93,374741.99,374931.91,375000.0,374897.97,374920.94,375000.0,375000.0,,,,,
0.082,102706,374657.92,374750.45,374940.08,375000.0,374906.16,374929.15,375000.0,375000.0,,,,,
0.083,102707,374667.28,374759.19,374948.42,375000.0,374914.67,374937.67,375000.0,375000.0,,,,,
0.084,102708,374675.91,374767.22,374956.02,375000.0,374922.53,374945.51,375000.0,375000.0,,,,,
0.085,102709,374682.84,374773.63,374962.14,375000.0,374928.84,374951.76,375000.0,375000.0,,,,,
0.086,102710,374687.34,374777.79,374966.19,375000.0,374932.92,374955.77,375000.0,375000.0,,,,,
0.087,102711,374689.01,374779.34,374967.8,375000.0,374934.39,374957.21,375000.0,375000.0,,,,,
0.088,102712,374687.83,374778.23,374966.83,375000.0,374933.2,374956.03,375000.0,375000.0,,,,,
0.089,102713,374684.06,374774.7,374963.43,375000.0,374929.64,374952.5,375000.0,375000.0,,,,,
0.090,102714,374678.29,374769.27,374958.09,375000.0,374924.27,374947.17,375000.0,375000.0,,,,,
0.091,102715,374671.34,374762.7,374951.58,375000.0,374917.89,374940.79,375000.0,375000.0,,,,,
0.092,102716,374664.13,374755.89,374944.85,375000.0,374911.39,374934.24,375000.0,375000.0,,,,,
0.093,102717,374657.58,374749.74,374938.87,375000.0,374905.61,374928.38,375000.0,375000.0,,,,,
0.094,102718,374652.42,374744.98,374934.35,375000.0,374901.18,374923.88,375000.0,375000.0,,,,,
0.095,102719,374649.09,374742.03,374931.69,375000.0,374898.47,374921.18,375000.0,375000.0,,,,,
0.096,102720,374647.73,374741.02,374930.92,375000.0,374897.55,374920.37,375000.0,375000.0,,,,,
0.097,102721,374648.31,374741.85,374931.88,375000.0,374898.37,374921.34,375000.0,375000.0,,,,,
0.098,102722,374650.68,374744.36,374934.38,375000.0,374900.82,374923.92,375000.0,375000.0,,,,,
0.099,102723,374654.78,374748.41,374938.34,375000.0,374904.81,374927.95,375000.0,375000.0,,,,,
0.100,102724,374660.55,374753.96,374943.74,375000.0,374910.29,374933.35,375000.0,375000.0,,,,,
0.101,102725,374667.86,374760.91,374950.51,375000.0,374917.12,374940.01,375000.0,375000.0,,,,,
0.102,102726,374676.38,374768.94,374958.32,375000.0,374924.93,374947.67,375000.0,375000.0,,,,,
0.103,102727,374685.4,374777.41,374966.51,375000.0,374933.06,374955.75,375000.0,375000.0,,,,,
0.104,102728,374693.91,374785.35,374974.13,375000.0,374940.61,374963.4,375000.0,375000.0,,,,,
0.105,102729,374700.79,374791.69,374980.14,375000.0,374946.62,374969.6,375000.0,375000.0,,,,,
0.106,102730,374705.05,374795.51,374983.71,375000.0,374950.27,374973.44,375000.0,375000.0,,,,,
0.107,102731,374706.16,374796.31,374984.44,375000.0,374951.13,374974.38,375000.0,375000.0,,,,,
0.108,102732,374704.13,374794.2,374982.46,375000.0,374949.24,374972.42,375000.0,375000.0,,,,,
0.109,102733,374699.5,374789.73,374978.28,375000.0,374945.04,374968.03,375000.0,375000.0,,,,,
0.110,102734,374693.15,374783.78,374972.65,375000.0,374939.28,374962.07,375000.0,375000.0,,,,,
0.111,102735,374686.04,374777.25,374966.36,375000.0,374932.77,374955.46,375000.0,375000.0,,,,,
0.112,102736,374679.0,374770.87,374960.06,375000.0,374926.3,374949.0,375000.0,375000.0,,,,,
0.113,102737,374672.65,374765.14,374954.31,375000.0,374920.48,374943.3,375000.0,375000.0,,,,,
0.114,102738,374667.44,374760.42,374949.56,375000.0,374915.81,374938.73,375000.0,375000.0,,,,,
0.115,102739,374663.7,374757.0,374946.22,375000.0,374912.64,374935.57,375000.0,375000.0,,,,,
0.116,102740,374661.73,374755.2,374944.65,375000.0,374911.22,374934.07,375000.0,375000.0,,,,,
0.117,102741,374661.79,374755.33,374945.09,375000.0,374911.74,374934.44,375000.0,375000.0,,,,,
0.118,102742,374664.07,374757.62,374947.62,375000.0,374914.24,374936.85,375000.0,375000.0,,,,,
0.119,102743,374668.59,374762.09,374952.13,375000.0,374918.66,374941.31,375000.0,375000.0,,,,,
0.120,102744,374675.13,374768.48,374958.3,375000.0,374924.8,374947.6,375000.0,375000.0,,,,,
0.121,102745,374683.23,374776.28,374965.68,375000.0,374932.25,374955.25,375000.0,375000.0,,,,,
0.122,102746,374692.21,374784.77,374973.73,375000.0,374940.46,374963.58,375000.0,375000.0,,,,,
0.123,102747,374701.25,374793.16,374981.76,375000.0,374948.71,374971.78,375000.0,375000.0,,,,,
0.124,102748,374709.43,374800.65,374989.05,375000.0,374956.17,374979.04,375000.0,375000.0,,,,,
0.125,102749,374715.92,374806.5,374994.81,375000.0,374962.01,374984.63,375000.0,375000.0,,,,,
0.126,102750,374719.99,374810.14,374998.37,375000.0,374965.54,374988.01,375000.0,375000.0,,,,,
0.127,102751,374721.2,374811.19,374999.27,375000.0,374966.35,374988.85,375000.0,375000.0,,,,,
0.128,102752,374719.47,374809.57,374997.46,375000.0,374964.46,374987.15,375000.0,375000.0,,,,,
0.129,102753,374715.14,374805.56,374993.33,375000.0,374960.27,374983.2,375000.0,375000.0,,,,,
0.130,102754,374708.89,374799.74,374987.61,375000.0,374954.51,374977.57,375000.0,375000.0,,,,,
0.131,102755,374701.62,374792.93,374981.16,375000.0,374948.03,374971.03,375000.0,375000.0,,,,,
0.132,102756,374694.22,374785.96,374974.75,375000.0,374941.58,374964.34,375000.0,375000.0,,,,,
0.133,102757,374687.45,374779.58,374968.91,375000.0,374935.72,374958.2,375000.0,375000.0,,,,,
0.134,102758,374681.81,374774.29,374963.93,375000.0,374930.79,374953.11,375000.0,375000.0,,,,,
0.135,102759,374677.6,374770.39,374960.0,375000.0,374927.0,374949.39,375000.0,375000.0,,,,,
0.136,102760,374675.01,374768.06,374957.42,375000.0,374924.57,374947.23,375000.0,375000.0,,,,,
0.137,102761,374674.27,374767.48,374956.6,375000.0,374923.81,374946.8,375000.0,375000.0,,,,,
0.138,102762,374675.62,374768.88,374958.02,375000.0,374925.06,374948.28,375000.0,375000.0,,,,,
0.139,102763,374679.31,374772.44,374961.97,375000.0,374928.59,374951.81,375000.0,375000.0,,,,,
0.140,102764,374685.36,374778.2,374968.28,375000.0,374934.36,374957.39,375000.0,375000.0,,,,,
0.141,102765,374693.44,374785.85,374976.2,375000.0,374941.97,374964.74,375000.0,375000.0,,,,,
0.142,102766,374702.79,374794.67,374984.55,375000.0,374950.63,374973.24,375000.0,375000.0,,,,,
